team_oid,teamname,teamcity,user_oid,fio,email,telephone,sex,birthdate,status,role,discipline_json
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1137,"Петрова Татьяна Андреевна",masters.m.100011@pulse.test,9000100011,Ж,1981-07-01,Подтверждён,drummer,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1138,"Сидорова Ирина Сергеевна",masters.m.100012@pulse.test,9000100012,Ж,1979-07-01,Подтверждён,reserve,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1139,"Иванова Анна Ивановна",masters.m.100013@pulse.test,9000100013,Ж,1983-07-01,Подтверждён,reserve,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1126,"Сидоров Максим Сергеевич",masters.m.100000@pulse.test,9000100000,М,1980-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1127,"Козлов Андрей Сергеевич",masters.m.100001@pulse.test,9000100001,М,1980-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1128,"Попов Максим Андреевич",masters.m.100002@pulse.test,9000100002,М,1981-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1129,"Попов Дмитрий Павлович",masters.m.100003@pulse.test,9000100003,М,1980-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1130,"Козлов Дмитрий Иванович",masters.m.100004@pulse.test,9000100004,М,1980-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1131,"Лебедев Николай Иванович",masters.m.100005@pulse.test,9000100005,М,1980-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1132,"Попов Владимир Сергеевич",masters.m.100006@pulse.test,9000100006,М,1979-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1133,"Иванов Николай Андреевич",masters.m.100007@pulse.test,9000100007,М,1980-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1134,"Попов Сергей Алексеевич",masters.m.100008@pulse.test,9000100008,М,1982-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1135,"Козлов Николай Максимович",masters.m.100009@pulse.test,9000100009,М,1982-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2209,"Masters D-10 M группа 3 #1","Нижний Новгород",1136,"Сидорова Анна Павловна",masters.m.100010@pulse.test,9000100010,Ж,1980-07-01,Подтверждён,steerer,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1151,"Иванов Сергей Андреевич",masters.m.100025@pulse.test,9000100025,М,1981-07-01,Подтверждён,drummer,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1152,"Сидоров Владимир Максимович",masters.m.100026@pulse.test,9000100026,М,1981-07-01,Подтверждён,reserve,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1153,"Сидорова Екатерина Андреевна",masters.m.100027@pulse.test,9000100027,Ж,1983-07-01,Подтверждён,reserve,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1140,"Новиков Николай Максимович",masters.m.100014@pulse.test,9000100014,М,1980-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1141,"Сидоров Максим Сергеевич",masters.m.100015@pulse.test,9000100015,М,1981-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1142,"Козлов Николай Андреевич",masters.m.100016@pulse.test,9000100016,М,1981-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1143,"Смирнов Дмитрий Сергеевич",masters.m.100017@pulse.test,9000100017,М,1979-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1144,"Смирнов Андрей Иванович",masters.m.100018@pulse.test,9000100018,М,1981-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1145,"Соколов Иван Алексеевич",masters.m.100019@pulse.test,9000100019,М,1982-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1146,"Петров Андрей Андреевич",masters.m.100020@pulse.test,9000100020,М,1980-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1147,"Иванов Владимир Алексеевич",masters.m.100021@pulse.test,9000100021,М,1981-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1148,"Соколов Сергей Алексеевич",masters.m.100022@pulse.test,9000100022,М,1979-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1149,"Сидоров Владимир Сергеевич",masters.m.100023@pulse.test,9000100023,М,1981-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2210,"Masters D-10 M группа 3 #2",Москва,1150,"Кузнецов Андрей Сергеевич",masters.m.100024@pulse.test,9000100024,М,1983-07-01,Подтверждён,steerer,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1165,"Сидоров Сергей Иванович",masters.m.100039@pulse.test,9000100039,М,1969-07-01,Подтверждён,drummer,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1166,"Иванов Дмитрий Алексеевич",masters.m.100040@pulse.test,9000100040,М,1973-07-01,Подтверждён,reserve,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1167,"Сидоров Максим Андреевич",masters.m.100041@pulse.test,9000100041,М,1969-07-01,Подтверждён,reserve,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1154,"Соколов Сергей Павлович",masters.m.100028@pulse.test,9000100028,М,1973-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1155,"Попов Алексей Павлович",masters.m.100029@pulse.test,9000100029,М,1969-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1156,"Петров Алексей Максимович",masters.m.100030@pulse.test,9000100030,М,1973-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1157,"Новиков Владимир Иванович",masters.m.100031@pulse.test,9000100031,М,1973-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1158,"Лебедева Екатерина Андреевна",masters.m.100032@pulse.test,9000100032,Ж,1972-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1159,"Козлов Павел Андреевич",masters.m.100033@pulse.test,9000100033,М,1972-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1160,"Козлов Николай Сергеевич",masters.m.100034@pulse.test,9000100034,М,1971-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1161,"Смирнов Максим Иванович",masters.m.100035@pulse.test,9000100035,М,1972-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1162,"Козлов Павел Иванович",masters.m.100036@pulse.test,9000100036,М,1970-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1163,"Смирнов Алексей Иванович",masters.m.100037@pulse.test,9000100037,М,1971-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2211,"Masters D-10 M группа 4 #3",Москва,1164,"Смирнов Сергей Максимович",masters.m.100038@pulse.test,9000100038,М,1970-07-01,Подтверждён,steerer,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1179,"Новиков Андрей Сергеевич",masters.m.100053@pulse.test,9000100053,М,1972-07-01,Подтверждён,drummer,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1180,"Петров Максим Андреевич",masters.m.100054@pulse.test,9000100054,М,1971-07-01,Подтверждён,reserve,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1181,"Попова Ольга Андреевна",masters.m.100055@pulse.test,9000100055,Ж,1971-07-01,Подтверждён,reserve,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1168,"Новикова Екатерина Максимовна",masters.m.100042@pulse.test,9000100042,Ж,1970-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1169,"Попов Андрей Максимович",masters.m.100043@pulse.test,9000100043,М,1970-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1170,"Попов Владимир Сергеевич",masters.m.100044@pulse.test,9000100044,М,1971-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1171,"Попов Павел Андреевич",masters.m.100045@pulse.test,9000100045,М,1972-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1172,"Новиков Максим Алексеевич",masters.m.100046@pulse.test,9000100046,М,1970-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1173,"Сидоров Андрей Павлович",masters.m.100047@pulse.test,9000100047,М,1969-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1174,"Лебедев Николай Андреевич",masters.m.100048@pulse.test,9000100048,М,1969-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1175,"Новиков Владимир Алексеевич",masters.m.100049@pulse.test,9000100049,М,1973-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1176,"Петров Владимир Иванович",masters.m.100050@pulse.test,9000100050,М,1969-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1177,"Петров Иван Алексеевич",masters.m.100051@pulse.test,9000100051,М,1972-07-01,Подтверждён,rower,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
2212,"Masters D-10 M группа 4 #4",Самара,1178,"Смирнов Алексей Алексеевич",masters.m.100052@pulse.test,9000100052,М,1973-07-01,Подтверждён,steerer,"{""D-10"": {""sex"": [""M""], ""dist"": [""200, 500, 1000""]}}"
